email_text,true_label,predicted_label,predicted_label_confidence,prob_true_label
"URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:39:47AM
Date: Wed, 25 Sep 2002 12:39:47 GMT[IMG: http://radio.weblogs.com/0001015/images/2002/09/25/uncSamMedium.gif (A 
picture named uncSamMedium.gif)][1]Last year on this day[2]: ""It's been 
not-correct for most of my life for Americans to say we love our country. 
That's a big bug. We're the world's greatest country and we know it. I love the 
USA. It gave me life, an education, role models and a philosophy. And if you 
think we're stupid or decadent, just try fucking with us.""[1] http://www.scripting.com/images/2001/09/22/uncleSam.jpg
[2] http://scriptingnews.userland.com/backissues/2001/09/25#bushAndTheDoves
",Safe Email,Phishing Email,0.974301,0.025699
"
======================== THE MOTLEY FOOL ========================
                        PERSONAL  FINANCE 
                    Wednesday, January 2, 2002 
										 
mkettler@home.com
=================================================================IN THIS ISSUE- ASK THE FOOL: Stop the Solicitation!
  http://www.fool.com/m.asp?i=562064- YOUR MONEY: Resolutions You Can Keep
  http://www.fool.com/m.asp?i=562065- SPOTLIGHT: Should All My Savings Be in the Market?
  http://www.fool.com/m.asp?i=562066
	
- COMMUNITY TIPS: Do (At Least) One Thing Differently
  http://www.fool.com/m.asp?i=562067=================================================================SPONSORED BY: Datek
Datek Online. Built to trade.
*Proprietary auto routing technology | *$9.99 commission 
for online equity trades | *60-second execution commitment.
Apply for a Datek Account Now!
http://www.lnksrv.com/m.asp?i=562068=================================================================
ASK THE FOOLQ. I'M TIRED OF GETTING ",Safe Email,Phishing Email,0.973529,0.026471
"URL: http://www.newsisfree.com/click/-6,8572784,215/
Date: 2002-10-05T03:05:35+01:00*Football:* Arsenal midfielder believes the Premiership champions have the 
ablility to become the world's best.
",Safe Email,Phishing Email,0.973441,0.026559
"following razor debugging sequence show my mail going from 9295 bytes to 0 bytes after the preproc runs, which gives me an exit code that is not 0. I included the message below.FoxRazor-Log: No /etc/razor/razor-agent.conf found, skipping. Razor-Log: No razor-agent.conf found, using defaults. Aug 26 10:28:09.225237 check[3469]: [ 1] [bootup] Logging initiated LogDebugLevel=9 to stdout Aug 26 10:28:09.225890 check[3469]: [ 5] computed razorhome=/etc/razor, conf=, ident=/etc/razor/identity Aug 26 10:28:09.226006 check[3469]: [ 2] Razor-Agents v2.14 starting razor-check -d -home=/etc/razor Aug 26 10:28:09.229704 check[3469]: [ 9] uname -a: Linux qmail.mckee.com 2.4.8-34.1mdk #1 Mon Nov 19 12:40:39 MST 2001 i686 unknown Aug 26 10:28:09.230155 check[3469]: [ 8] reading straight RFC822 mail from Aug 26 10:28:09.231524 check[3469]: [ 6] read 1 mail Aug 26 10:28:09.231923 check[3469]: [ 8] Client supported_engines: 1 2 3 4 Aug 26 10:28:09.233017 check[3469]: [ 8] prep_mail done: mail 1 headers=",Safe Email,Phishing Email,0.973265,0.026735
"URL: http://boingboing.net/#85524823
Date: Not suppliedDoom has been ported to the Nokia 7650 handset! Link[1] Discuss[2] (_via Ben 
Hammersley.com[3]_)[1] http://www.wildpalm.co.uk/Doom7650.html
[2] http://www.quicktopic.com/boing/H/RnFavNUGmidx
[3] http://www.benhammersley.com/
",Safe Email,Phishing Email,0.972275,0.027725
"URL: http://boingboing.net/#85512062
Date: Not suppliedHypocrites in the recording industry have been screaming about people stealing 
music. All the while, they've been robbing CD buyers.     ...five of the largest U.S. distributors of pre-recorded music CDs and 
    three large retailers agreed to pay millions of dollars in cash and free 
    CDs as part of an agreement on price-fixing allegations.  Link[1] Discuss[2][1] http://blogcritics.org/archives/2002/09/30/123242.php#20020930123242
[2] http://www.quicktopic.com/16/H/VL2YSRjKGRqHc
",Safe Email,Phishing Email,0.972192,0.027808
"URL: http://boingboing.net/#85534186
Date: Not suppliedSweatyFrog is a toy-review magazine/store, focusing on collectible toys with 
great, MegoSteve[1]-style erudite toy-otaku commentary. Toy_Design_Guru, who 
suggested the link, recommends their occassional email newsletter as a 
must-read. Link[2] Discuss[3] (_Thanks, Toy_Design_Guru!_)[1] http://www.megosteve.com
[2] http://www.sweatyfrog.com/index2.html
[3] http://www.quicktopic.com/boing/H/WhGgH4sXeVwJN
",Safe Email,Phishing Email,0.971969,0.028031
"URL: http://boingboing.net/#85537496
Date: Not suppliedCurcumin, the chemical that makes curry yellow, turns out to be a good compound 
for treating radiation burns resulting from cancer therapy. Link[1] Discuss[2] 
(_Thanks, Cheryl!_)[1] http://www.alertnet.org/thenews/newsdesk/N07347915
[2] http://www.quicktopic.com/boing/H/THKNJnrnHdDd
",Safe Email,Phishing Email,0.971223,0.028777
"URL: http://boingboing.net/#85541007
Date: Not suppliedNew Scientist is throwing a scavenger hunt with two prizes: ""Live forever"" and 
get a gift certificate good for cryonic freezing or ""Live now"" and take a 
luxury trip to Hawai'i. Link[1] Discuss[2] (_Thanks, Jens[3]!_)[1] http://www.newscientist.com/competition/
[2] http://www.quicktopic.com/boing/H/hyPgygjHPrevU
[3] http://www.nosenseofplace.com
",Safe Email,Phishing Email,0.970850,0.029150
"URL: http://boingboing.net/#85485739
Date: Not suppliedFor UK#400,000, a bioresearcher will map your personal genome for you. As 
geneticists discover more markers for congenital diseases, you can compare them 
to your genome and learn what you're in for in your lifetime -- heart disease, 
cancer, baldness, compulsive hand-washing... Link[1] Discuss[2] (_Thanks, Alan!
_)[1] http://timesofindia.indiatimes.com/cms.dll/articleshow?artid=23099123
[2] http://www.quicktopic.com/boing/H/86aYt8PFwKE6
",Safe Email,Phishing Email,0.970779,0.029221
